Item Purchased,Category,Size,Color,Season,Review Rating,Product_ID
Jacket,Outerwear,M,White,Fall,3.3,PROD2463
Jewelry,Accessories,S,Orange,Summer,2.7,PROD2464
Sunglasses,Accessories,M,Silver,Winter,4.7,PROD2465
Skirt,Clothing,M,Pink,Summer,2.8,PROD2466
Jeans,Clothing,L,Turquoise,Winter,4.6,PROD2467
Backpack,Accessories,S,Orange,Spring,4.5,PROD2468
Backpack,Accessories,S,Peach,Fall,5,PROD2469
Shorts,Clothing,L,Pink,Fall,4.1,PROD2470
Dress,Clothing,L,Teal,Summer,4.6,PROD2471
Scarf,Accessories,XL,White,Winter,4.9,PROD2472
Jeans,Clothing,L,Gray,Winter,3.9,PROD2473
Coat,Outerwear,L,Olive,Spring,3.9,PROD2474
Sweater,Clothing,XL,Maroon,Summer,2.6,PROD2475
Sneakers,Footwear,L,Magenta,Summer,2.7,PROD2476
Scarf,Accessories,M,Magenta,Spring,3.5,PROD2477
Sweater,Clothing,M,Green,Summer,3.7,PROD2478
Jewelry,Accessories,XL,Turquoise,Winter,3.2,PROD2479
Handbag,Accessories,L,Yellow,Winter,3.3,PROD2480
Hoodie,Clothing,M,Gray,Summer,4.8,PROD2481
Hat,Accessories,L,Peach,Fall,3.2,PROD2482
Belt,Accessories,M,Yellow,Winter,2.5,PROD2483
Hoodie,Clothing,M,White,Fall,3.9,PROD2484
Hat,Accessories,L,Lavender,Summer,4.7,PROD2485
Shoes,Footwear,S,Blue,Spring,2.6,PROD2486
Sandals,Footwear,M,Charcoal,Fall,2.8,PROD2487
Jacket,Outerwear,L,Red,Winter,4.4,PROD2488
Sweater,Clothing,L,Olive,Spring,4.6,PROD2489
Socks,Clothing,M,Green,Summer,3.2,PROD2490
Sneakers,Footwear,M,Silver,Winter,4.2,PROD2491
Coat,Outerwear,M,Silver,Summer,3.7,PROD2492
Shirt,Clothing,M,Black,Fall,3.9,PROD2493
Backpack,Accessories,XL,Red,Summer,4.7,PROD2494
Boots,Footwear,M,Indigo,Winter,4.5,PROD2495
Handbag,Accessories,XL,Cyan,Fall,3.3,PROD2496
Dress,Clothing,S,Maroon,Fall,3.3,PROD2497
Sneakers,Footwear,S,Silver,Winter,4.6,PROD2498
Boots,Footwear,M,Lavender,Spring,3.6,PROD2499
Shoes,Footwear,L,Silver,Winter,4.8,PROD2500
T-shirt,Clothing,L,Purple,Fall,4.8,PROD2501
Boots,Footwear,M,Cyan,Spring,2.9,PROD2502
Pants,Clothing,S,Cyan,Fall,2.8,PROD2503
Shoes,Footwear,M,Lavender,Summer,3.2,PROD2504
Shoes,Footwear,M,Maroon,Winter,3.9,PROD2505
T-shirt,Clothing,L,Gray,Spring,4.3,PROD2506
Scarf,Accessories,M,Olive,Fall,2.7,PROD2507
Shorts,Clothing,M,Magenta,Spring,5,PROD2508
Jewelry,Accessories,S,Yellow,Winter,3.7,PROD2509
T-shirt,Clothing,L,Cyan,Summer,3.9,PROD2510
Shirt,Clothing,M,Teal,Fall,3.9,PROD2511
Shirt,Clothing,L,Yellow,Fall,3.1,PROD2512
Gloves,Accessories,L,Peach,Winter,3.3,PROD2513
Scarf,Accessories,M,Peach,Fall,3.6,PROD2514
Skirt,Clothing,S,Olive,Winter,4.3,PROD2515
Hat,Accessories,L,Charcoal,Spring,4.5,PROD2516
Hoodie,Clothing,L,Indigo,Fall,2.8,PROD2517
Boots,Footwear,L,Silver,Fall,2.7,PROD2518
Blouse,Clothing,M,Beige,Fall,2.9,PROD2519
Belt,Accessories,L,Blue,Summer,4.4,PROD2520
Sunglasses,Accessories,M,White,Spring,3.9,PROD2521
Shorts,Clothing,L,Gold,Winter,3.5,PROD2522
Gloves,Accessories,M,Blue,Spring,2.5,PROD2523
Sandals,Footwear,M,Orange,Spring,4.9,PROD2524
Shirt,Clothing,M,Gold,Summer,4.8,PROD2525
Coat,Outerwear,M,Cyan,Spring,3.2,PROD2526
Pants,Clothing,S,Red,Winter,4.9,PROD2527
T-shirt,Clothing,L,Yellow,Winter,4.3,PROD2528
Sneakers,Footwear,S,Beige,Winter,3.2,PROD2529
Shorts,Clothing,M,Orange,Fall,3.7,PROD2530
Coat,Outerwear,XL,Magenta,Winter,3.2,PROD2531
Sandals,Footwear,L,Purple,Fall,3.4,PROD2532
Pants,Clothing,L,Black,Winter,4.1,PROD2533
Sandals,Footwear,L,Pink,Spring,4.5,PROD2534
Gloves,Accessories,L,Pink,Fall,4.5,PROD2535
T-shirt,Clothing,L,Maroon,Spring,3.2,PROD2536
Jacket,Outerwear,S,Maroon,Fall,4.4,PROD2537
Blouse,Clothing,S,Turquoise,Summer,3,PROD2538
Socks,Clothing,XL,Green,Spring,3.2,PROD2539
Coat,Outerwear,M,Violet,Winter,4,PROD2540
Dress,Clothing,M,Lavender,Spring,3.1,PROD2541
Jacket,Outerwear,L,Gray,Fall,2.8,PROD2542
Boots,Footwear,XL,Teal,Spring,4.6,PROD2543
Skirt,Clothing,S,Red,Spring,4.3,PROD2544
Sandals,Footwear,S,Yellow,Summer,3.3,PROD2545
Coat,Outerwear,L,Magenta,Summer,3.5,PROD2546
Hoodie,Clothing,M,Brown,Winter,3.4,PROD2547
Jacket,Outerwear,M,Blue,Winter,2.8,PROD2548
Backpack,Accessories,M,Black,Winter,4.6,PROD2549
Backpack,Accessories,S,Olive,Fall,3.6,PROD2550
Belt,Accessories,M,Olive,Summer,3.3,PROD2551
Coat,Outerwear,XL,Green,Fall,3.1,PROD2552
T-shirt,Clothing,M,Peach,Fall,3.5,PROD2553
Sunglasses,Accessories,M,White,Winter,3.2,PROD2554
Sneakers,Footwear,M,Red,Summer,3,PROD2555
Gloves,Accessories,M,White,Fall,4.8,PROD2556
Coat,Outerwear,L,Indigo,Winter,5,PROD2557
Shirt,Clothing,M,White,Spring,2.9,PROD2558
Sneakers,Footwear,L,Teal,Fall,3.2,PROD2559
Scarf,Accessories,M,Indigo,Fall,2.9,PROD2560
Jewelry,Accessories,L,Red,Fall,3.3,PROD2561
Jacket,Outerwear,M,Blue,Fall,2.6,PROD2562
Jeans,Clothing,M,Blue,Summer,3.5,PROD2563
Shoes,Footwear,M,Black,Fall,4.4,PROD2564
Hoodie,Clothing,M,Olive,Winter,3.4,PROD2565
Backpack,Accessories,L,Lavender,Fall,4.2,PROD2566
Sneakers,Footwear,M,Indigo,Spring,3.6,PROD2567
Blouse,Clothing,S,Red,Winter,3,PROD2568
Pants,Clothing,L,Red,Summer,4,PROD2569
Skirt,Clothing,M,Pink,Fall,4.4,PROD2570
T-shirt,Clothing,XL,Purple,Fall,4.1,PROD2571
Jacket,Outerwear,XL,Cyan,Spring,3.6,PROD2572
Scarf,Accessories,XL,Cyan,Summer,4.6,PROD2573
Pants,Clothing,M,Charcoal,Summer,3.2,PROD2574
Sneakers,Footwear,L,Red,Fall,4.8,PROD2575
Jeans,Clothing,M,Peach,Fall,4.8,PROD2576
Hat,Accessories,M,Black,Winter,5,PROD2577
Skirt,Clothing,M,Black,Fall,3.7,PROD2578
Sandals,Footwear,M,Purple,Fall,4.6,PROD2579
Sandals,Footwear,M,Violet,Winter,3.7,PROD2580
Sweater,Clothing,M,Orange,Spring,4.1,PROD2581
Sweater,Clothing,XL,Charcoal,Winter,2.7,PROD2582
Jacket,Outerwear,L,Turquoise,Spring,4.9,PROD2583
Shorts,Clothing,L,Yellow,Spring,4,PROD2584
Socks,Clothing,M,White,Spring,4.7,PROD2585
Socks,Clothing,M,Gray,Fall,2.8,PROD2586
Hoodie,Clothing,S,Blue,Winter,4.9,PROD2587
Socks,Clothing,S,Maroon,Fall,4.2,PROD2588
Boots,Footwear,M,Violet,Fall,3,PROD2589
Shirt,Clothing,M,Orange,Fall,3.4,PROD2590
Belt,Accessories,S,Turquoise,Fall,4.6,PROD2591
Backpack,Accessories,L,Olive,Fall,4.2,PROD2592
Boots,Footwear,M,Brown,Fall,3.2,PROD2593
Coat,Outerwear,S,Green,Winter,4.4,PROD2594
Hoodie,Clothing,S,Brown,Winter,2.5,PROD2595
Shoes,Footwear,M,Silver,Summer,3.6,PROD2596
Shoes,Footwear,XL,White,Summer,4.5,PROD2597
Jewelry,Accessories,L,Gold,Summer,3.4,PROD2598
Dress,Clothing,L,Green,Winter,3.2,PROD2599
Boots,Footwear,L,Teal,Spring,4.2,PROD2600
Hat,Accessories,M,Charcoal,Spring,5,PROD2601
Backpack,Accessories,M,Maroon,Summer,4.7,PROD2602
Shoes,Footwear,L,Lavender,Summer,4.2,PROD2603
Handbag,Accessories,L,Green,Winter,3.4,PROD2604
Sunglasses,Accessories,S,Pink,Fall,4.4,PROD2605
Hat,Accessories,XL,Charcoal,Winter,4.2,PROD2606
Scarf,Accessories,M,Blue,Spring,4.5,PROD2607
Hoodie,Clothing,L,Purple,Fall,2.8,PROD2608
Backpack,Accessories,S,Gold,Fall,3.3,PROD2609
Sweater,Clothing,L,Purple,Fall,4.6,PROD2610
Shorts,Clothing,M,Charcoal,Summer,2.5,PROD2611
Scarf,Accessories,M,Black,Winter,4.7,PROD2612
Hat,Accessories,L,Lavender,Fall,4.6,PROD2613
Coat,Outerwear,L,Lavender,Fall,2.6,PROD2614
Jewelry,Accessories,M,Lavender,Winter,4,PROD2615
Sandals,Footwear,L,Olive,Summer,2.6,PROD2616
Gloves,Accessories,L,Teal,Spring,4.6,PROD2617
Backpack,Accessories,M,Maroon,Fall,2.6,PROD2618
Jacket,Outerwear,L,Cyan,Spring,4,PROD2619
Backpack,Accessories,M,Charcoal,Summer,4.6,PROD2620
Backpack,Accessories,M,Black,Fall,3.7,PROD2621
Sunglasses,Accessories,S,Red,Fall,4.4,PROD2622
Socks,Clothing,S,Peach,Spring,4,PROD2623
Shoes,Footwear,M,White,Fall,4.7,PROD2624
Pants,Clothing,XL,Pink,Fall,3.4,PROD2625
Jewelry,Accessories,M,Red,Fall,4,PROD2626
Sunglasses,Accessories,M,Indigo,Spring,3.9,PROD2627
Sandals,Footwear,L,Black,Winter,4.1,PROD2628
Sweater,Clothing,M,White,Fall,3.7,PROD2629
Shoes,Footwear,L,Beige,Spring,4.7,PROD2630
Jewelry,Accessories,S,Silver,Fall,4.3,PROD2631
Boots,Footwear,S,Violet,Summer,4.1,PROD2632
Backpack,Accessories,M,Red,Winter,3.9,PROD2633
Sandals,Footwear,M,Orange,Spring,2.9,PROD2634
Sneakers,Footwear,M,Teal,Summer,3.9,PROD2635
Hoodie,Clothing,M,Brown,Fall,4.3,PROD2636
Handbag,Accessories,M,Indigo,Summer,2.8,PROD2637
Sweater,Clothing,M,Cyan,Winter,3.4,PROD2638
Sandals,Footwear,S,Blue,Summer,2.7,PROD2639
Dress,Clothing,L,Olive,Spring,4,PROD2640
Skirt,Clothing,M,Gray,Summer,4.4,PROD2641
Blouse,Clothing,M,Red,Winter,3.9,PROD2642
Skirt,Clothing,L,Red,Spring,2.8,PROD2643
Sweater,Clothing,XL,Green,Winter,3.2,PROD2644
Backpack,Accessories,S,Blue,Summer,4.3,PROD2645
Hoodie,Clothing,S,Purple,Summer,4.2,PROD2646
Boots,Footwear,XL,Pink,Spring,4.9,PROD2647
Blouse,Clothing,XL,Charcoal,Summer,3.7,PROD2648
Hoodie,Clothing,M,Brown,Winter,4.1,PROD2649
Pants,Clothing,L,Orange,Spring,4.2,PROD2650
Gloves,Accessories,M,Magenta,Spring,3.9,PROD2651
Hat,Accessories,L,Yellow,Summer,2.9,PROD2652
Sunglasses,Accessories,M,Beige,Winter,3.1,PROD2653
Scarf,Accessories,M,Olive,Winter,3.6,PROD2654
Handbag,Accessories,L,Gray,Summer,4.4,PROD2655
Handbag,Accessories,S,Purple,Fall,3.1,PROD2656
Jeans,Clothing,M,Beige,Summer,3.9,PROD2657
Jacket,Outerwear,M,White,Winter,4.3,PROD2658
Backpack,Accessories,S,White,Fall,4.9,PROD2659
Shorts,Clothing,S,Gold,Spring,3.6,PROD2660
Coat,Outerwear,M,Olive,Fall,5,PROD2661
Shirt,Clothing,XL,Green,Fall,4.1,PROD2662
Gloves,Accessories,L,Magenta,Fall,2.8,PROD2663
Dress,Clothing,M,Charcoal,Fall,4.7,PROD2664
Pants,Clothing,M,Indigo,Winter,4.4,PROD2665
Pants,Clothing,M,Peach,Spring,4.9,PROD2666
Hoodie,Clothing,L,Turquoise,Winter,3.1,PROD2667
Sunglasses,Accessories,S,Blue,Winter,2.6,PROD2668
T-shirt,Clothing,S,Turquoise,Fall,2.9,PROD2669
Jacket,Outerwear,M,Gray,Spring,3.3,PROD2670
Sweater,Clothing,XL,Purple,Spring,4.8,PROD2671
Jacket,Outerwear,L,Black,Winter,4.7,PROD2672
Socks,Clothing,M,Peach,Winter,3.3,PROD2673
Shirt,Clothing,M,Indigo,Spring,4.2,PROD2674
Jewelry,Accessories,XL,Beige,Winter,4.7,PROD2675
Sunglasses,Accessories,M,Yellow,Spring,2.6,PROD2676
Pants,Clothing,M,Peach,Winter,2.9,PROD2677
Socks,Clothing,S,Turquoise,Summer,2.7,PROD2678
Blouse,Clothing,M,Teal,Fall,3.3,PROD2679
Sandals,Footwear,M,Turquoise,Fall,3.4,PROD2680
Sneakers,Footwear,M,Magenta,Spring,4.2,PROD2681
Shirt,Clothing,XL,Purple,Winter,3.8,PROD2682
Jacket,Outerwear,M,Brown,Summer,4,PROD2683
Sandals,Footwear,S,Violet,Winter,2.7,PROD2684
Hat,Accessories,M,Yellow,Summer,4.7,PROD2685
Blouse,Clothing,XL,Magenta,Winter,3.5,PROD2686
Sweater,Clothing,L,Beige,Fall,3,PROD2687
Gloves,Accessories,XL,Turquoise,Winter,3.3,PROD2688
Scarf,Accessories,S,Peach,Summer,4.7,PROD2689
Hoodie,Clothing,M,Orange,Summer,4.7,PROD2690
Shorts,Clothing,XL,Red,Spring,4.8,PROD2691
Backpack,Accessories,L,Silver,Summer,2.9,PROD2692
Sunglasses,Accessories,M,Cyan,Spring,4,PROD2693
Shorts,Clothing,L,Turquoise,Spring,3.1,PROD2694
Dress,Clothing,S,Charcoal,Fall,3.5,PROD2695
Shorts,Clothing,XL,Peach,Summer,3.7,PROD2696
Belt,Accessories,L,Green,Fall,2.8,PROD2697
Scarf,Accessories,XL,Brown,Summer,4.6,PROD2698
Boots,Footwear,M,Yellow,Winter,3.8,PROD2699
Handbag,Accessories,M,Charcoal,Fall,2.6,PROD2700
Pants,Clothing,L,Olive,Winter,4.1,PROD2701
Boots,Footwear,L,Red,Fall,3.3,PROD2702
Shirt,Clothing,M,White,Winter,3.4,PROD2703
Dress,Clothing,L,Pink,Summer,3,PROD2704
Hoodie,Clothing,S,Black,Spring,3.2,PROD2705
Pants,Clothing,XL,Indigo,Summer,4.5,PROD2706
Jeans,Clothing,L,Turquoise,Summer,4.8,PROD2707
Shirt,Clothing,L,Purple,Spring,3.7,PROD2708
Backpack,Accessories,L,Beige,Summer,3.4,PROD2709
Jacket,Outerwear,L,Charcoal,Summer,4.6,PROD2710
Scarf,Accessories,L,Turquoise,Spring,4.1,PROD2711
Boots,Footwear,M,Maroon,Spring,3.5,PROD2712
Blouse,Clothing,XL,Black,Summer,3.8,PROD2713
Hoodie,Clothing,M,Lavender,Summer,2.6,PROD2714
Jacket,Outerwear,M,Magenta,Fall,4.4,PROD2715
Jeans,Clothing,L,Green,Spring,2.6,PROD2716
Jewelry,Accessories,M,Olive,Spring,3.6,PROD2717
Socks,Clothing,L,Green,Spring,4.2,PROD2718
Shirt,Clothing,M,Peach,Summer,4.6,PROD2719
Shorts,Clothing,L,Turquoise,Summer,3.3,PROD2720
Jewelry,Accessories,L,Orange,Fall,3.4,PROD2721
Blouse,Clothing,L,Silver,Summer,4.4,PROD2722
Sweater,Clothing,S,Blue,Summer,4.3,PROD2723
Jewelry,Accessories,L,Cyan,Fall,3.5,PROD2724
T-shirt,Clothing,XL,Green,Fall,4.7,PROD2725
Hat,Accessories,L,Silver,Winter,3.1,PROD2726
Shorts,Clothing,L,Yellow,Summer,3.6,PROD2727
Sweater,Clothing,S,Gray,Winter,4.8,PROD2728
Jeans,Clothing,M,Pink,Winter,3.7,PROD2729
Sunglasses,Accessories,L,Beige,Summer,3.2,PROD2730
Boots,Footwear,M,Indigo,Summer,3.9,PROD2731
Coat,Outerwear,M,Red,Spring,3.5,PROD2732
Shirt,Clothing,L,Blue,Spring,2.8,PROD2733
Dress,Clothing,L,Cyan,Fall,2.7,PROD2734
Shirt,Clothing,S,Violet,Winter,3.1,PROD2735
Sunglasses,Accessories,M,Orange,Fall,3.6,PROD2736
Dress,Clothing,L,Maroon,Spring,2.9,PROD2737
Sunglasses,Accessories,M,Teal,Spring,3.6,PROD2738
Sunglasses,Accessories,L,Orange,Winter,3.5,PROD2739
Shorts,Clothing,S,Purple,Summer,3.5,PROD2740
Jeans,Clothing,M,Orange,Summer,2.8,PROD2741
T-shirt,Clothing,XL,Yellow,Summer,4.7,PROD2742
Pants,Clothing,M,Charcoal,Summer,3.1,PROD2743
Sunglasses,Accessories,L,Gray,Fall,4.9,PROD2744
Boots,Footwear,S,Charcoal,Spring,4.1,PROD2745
T-shirt,Clothing,L,Orange,Fall,4.7,PROD2746
Sandals,Footwear,M,Red,Winter,2.5,PROD2747
Shorts,Clothing,L,Gold,Spring,4.4,PROD2748
Hat,Accessories,L,Brown,Fall,3.9,PROD2749
Scarf,Accessories,M,Olive,Winter,3.7,PROD2750
T-shirt,Clothing,L,Violet,Fall,3.4,PROD2751
Gloves,Accessories,L,Indigo,Fall,4.8,PROD2752
Scarf,Accessories,L,Yellow,Fall,4.2,PROD2753
Boots,Footwear,M,Teal,Fall,3.4,PROD2754
Gloves,Accessories,L,Pink,Spring,2.9,PROD2755
Coat,Outerwear,M,Violet,Spring,3.3,PROD2756
Belt,Accessories,S,Orange,Summer,4.8,PROD2757
Hoodie,Clothing,M,Red,Fall,3.8,PROD2758
Shoes,Footwear,L,Peach,Summer,4.6,PROD2759
Dress,Clothing,XL,Green,Winter,2.6,PROD2760
Gloves,Accessories,XL,Violet,Fall,3.4,PROD2761
Jewelry,Accessories,L,Yellow,Fall,4.2,PROD2762
Belt,Accessories,M,Pink,Fall,3.9,PROD2763
Sweater,Clothing,M,Brown,Spring,2.9,PROD2764
Skirt,Clothing,XL,Silver,Fall,4.2,PROD2765
Sneakers,Footwear,M,Pink,Summer,3,PROD2766
Gloves,Accessories,M,Cyan,Winter,3.6,PROD2767
Coat,Outerwear,M,Brown,Fall,2.5,PROD2768
Backpack,Accessories,XL,Red,Spring,2.6,PROD2769
Socks,Clothing,M,Silver,Spring,4.3,PROD2770
Sneakers,Footwear,M,Gray,Spring,3.3,PROD2771
Sweater,Clothing,L,Cyan,Fall,2.6,PROD2772
Jeans,Clothing,L,Teal,Fall,3.6,PROD2773
Hat,Accessories,L,Indigo,Winter,2.6,PROD2774
Hat,Accessories,M,Yellow,Summer,3.5,PROD2775
Handbag,Accessories,S,Gold,Winter,3,PROD2776
Shirt,Clothing,M,Maroon,Spring,5,PROD2777
Socks,Clothing,XL,Silver,Spring,2.5,PROD2778
Socks,Clothing,M,Yellow,Summer,2.9,PROD2779
Dress,Clothing,M,Blue,Spring,4.6,PROD2780
Shoes,Footwear,M,Turquoise,Spring,3.6,PROD2781
Scarf,Accessories,L,Indigo,Winter,3,PROD2782
Hoodie,Clothing,M,Green,Summer,4.5,PROD2783
T-shirt,Clothing,L,Purple,Winter,4.5,PROD2784
Jeans,Clothing,M,Peach,Winter,3.2,PROD2785
Shorts,Clothing,S,Purple,Spring,4,PROD2786
Hat,Accessories,S,Teal,Winter,4.8,PROD2787
Handbag,Accessories,S,Green,Spring,3.7,PROD2788
Pants,Clothing,XL,Yellow,Summer,3.8,PROD2789
Handbag,Accessories,S,Purple,Fall,2.7,PROD2790
Sweater,Clothing,M,Indigo,Summer,4.9,PROD2791
Scarf,Accessories,S,Magenta,Summer,3.1,PROD2792
Sneakers,Footwear,M,Violet,Spring,4.2,PROD2793
Pants,Clothing,L,Maroon,Summer,3.8,PROD2794
Backpack,Accessories,XL,Yellow,Winter,4.2,PROD2795
Sandals,Footwear,M,Beige,Summer,4.6,PROD2796
Socks,Clothing,XL,Black,Fall,4,PROD2797
Coat,Outerwear,M,Violet,Fall,4,PROD2798
Socks,Clothing,M,Violet,Spring,3.8,PROD2799
Belt,Accessories,L,Brown,Summer,3.3,PROD2800
Socks,Clothing,S,Gold,Summer,2.6,PROD2801
Belt,Accessories,L,Blue,Fall,4.9,PROD2802
Pants,Clothing,M,Teal,Winter,3.5,PROD2803
Shorts,Clothing,L,Silver,Winter,2.8,PROD2804
Boots,Footwear,M,Maroon,Summer,2.6,PROD2805
Dress,Clothing,L,White,Summer,3.7,PROD2806
Jeans,Clothing,L,Charcoal,Summer,2.7,PROD2807
T-shirt,Clothing,S,Brown,Winter,3.3,PROD2808
Shoes,Footwear,L,Lavender,Fall,4.6,PROD2809
Boots,Footwear,M,Violet,Fall,4.9,PROD2810
Scarf,Accessories,S,Lavender,Fall,4.9,PROD2811
Sneakers,Footwear,M,Green,Winter,2.7,PROD2812
Boots,Footwear,M,Olive,Summer,3.2,PROD2813
Handbag,Accessories,S,Olive,Summer,2.9,PROD2814
Shirt,Clothing,M,Pink,Winter,3.8,PROD2815
Hat,Accessories,L,Teal,Spring,3,PROD2816
Sweater,Clothing,L,Cyan,Summer,3.9,PROD2817
Handbag,Accessories,S,Gray,Spring,4.7,PROD2818
Shirt,Clothing,M,Peach,Winter,4.9,PROD2819
Sunglasses,Accessories,S,Teal,Winter,4.8,PROD2820
Sneakers,Footwear,M,Turquoise,Spring,2.5,PROD2821
Hoodie,Clothing,M,Green,Spring,3.9,PROD2822
Shirt,Clothing,L,Magenta,Winter,3.4,PROD2823
Sunglasses,Accessories,M,Green,Winter,2.5,PROD2824
Blouse,Clothing,M,White,Spring,3,PROD2825
Belt,Accessories,XL,Brown,Fall,3.6,PROD2826
Dress,Clothing,M,Purple,Winter,3.6,PROD2827
Shoes,Footwear,S,Green,Fall,4.1,PROD2828
Socks,Clothing,M,Peach,Fall,3.7,PROD2829
Socks,Clothing,S,Silver,Spring,3.1,PROD2830
Shorts,Clothing,M,Maroon,Fall,4.2,PROD2831
Gloves,Accessories,M,Red,Summer,4.3,PROD2832
Jacket,Outerwear,L,Blue,Fall,2.5,PROD2833
Handbag,Accessories,M,Purple,Fall,3.5,PROD2834
Backpack,Accessories,M,Indigo,Summer,3.1,PROD2835
Boots,Footwear,L,Indigo,Summer,2.5,PROD2836
Gloves,Accessories,L,Violet,Winter,3.9,PROD2837
Hoodie,Clothing,L,Brown,Spring,4.9,PROD2838
Coat,Outerwear,M,Gray,Spring,4.3,PROD2839
Shirt,Clothing,L,Teal,Spring,2.6,PROD2840
Shirt,Clothing,L,Teal,Summer,4.2,PROD2841
Sweater,Clothing,M,Beige,Summer,2.6,PROD2842
Shirt,Clothing,M,Violet,Spring,3.6,PROD2843
Hoodie,Clothing,S,Beige,Summer,3.2,PROD2844
Sandals,Footwear,L,Purple,Winter,4.4,PROD2845
Belt,Accessories,XL,Charcoal,Winter,3.7,PROD2846
Boots,Footwear,M,Pink,Spring,3.7,PROD2847
Hoodie,Clothing,L,Blue,Fall,4.1,PROD2848
Sandals,Footwear,M,Lavender,Fall,3.6,PROD2849
Jeans,Clothing,S,Charcoal,Spring,4.3,PROD2850
Shoes,Footwear,L,Turquoise,Winter,2.6,PROD2851
Sandals,Footwear,M,Red,Summer,2.9,PROD2852
Dress,Clothing,L,Yellow,Spring,4.2,PROD2853
Hat,Accessories,L,Orange,Winter,4,PROD2854
Pants,Clothing,L,Blue,Spring,4.3,PROD2855
Socks,Clothing,L,Gold,Spring,3,PROD2856
Shirt,Clothing,M,Gold,Summer,3.5,PROD2857
Shorts,Clothing,L,Cyan,Fall,3,PROD2858
Jacket,Outerwear,L,Olive,Fall,3.1,PROD2859
Hoodie,Clothing,M,Teal,Winter,4,PROD2860
Shoes,Footwear,M,Maroon,Spring,4.1,PROD2861
Skirt,Clothing,XL,Green,Spring,3.3,PROD2862
Coat,Outerwear,M,Charcoal,Winter,4.9,PROD2863
Sneakers,Footwear,M,Cyan,Summer,3.9,PROD2864
Jeans,Clothing,S,Charcoal,Winter,3.9,PROD2865
Blouse,Clothing,L,Charcoal,Winter,4.8,PROD2866
Sunglasses,Accessories,M,Lavender,Summer,2.7,PROD2867
Jacket,Outerwear,M,Turquoise,Spring,3.1,PROD2868
Dress,Clothing,M,Green,Summer,3.2,PROD2869
Hat,Accessories,M,Silver,Spring,2.7,PROD2870
Hoodie,Clothing,M,Blue,Fall,2.5,PROD2871
Handbag,Accessories,M,Charcoal,Spring,2.6,PROD2872
Jeans,Clothing,M,Pink,Spring,2.9,PROD2873
Boots,Footwear,M,Pink,Summer,4.2,PROD2874
Jacket,Outerwear,M,Magenta,Fall,4.4,PROD2875
Sandals,Footwear,L,Gray,Summer,4.1,PROD2876
Belt,Accessories,L,Gray,Summer,3.8,PROD2877
Handbag,Accessories,M,Orange,Winter,4.9,PROD2878
Sunglasses,Accessories,S,Black,Summer,4.9,PROD2879
Skirt,Clothing,S,Lavender,Spring,4.1,PROD2880
Backpack,Accessories,L,Red,Spring,3.1,PROD2881
Sandals,Footwear,M,Silver,Summer,2.7,PROD2882
Boots,Footwear,M,Cyan,Fall,3.8,PROD2883
Sneakers,Footwear,S,Gold,Fall,4.3,PROD2884
Skirt,Clothing,L,Yellow,Winter,4.1,PROD2885
Dress,Clothing,L,Purple,Fall,4.4,PROD2886
Shorts,Clothing,S,Brown,Summer,3.6,PROD2887
Handbag,Accessories,L,Turquoise,Winter,3.3,PROD2888
Scarf,Accessories,S,Gold,Spring,3.6,PROD2889
Belt,Accessories,S,Olive,Fall,2.8,PROD2890
Gloves,Accessories,S,Purple,Spring,4.3,PROD2891
Skirt,Clothing,S,Lavender,Summer,3.9,PROD2892
Shorts,Clothing,L,Gray,Summer,2.7,PROD2893
Backpack,Accessories,M,Red,Spring,4.7,PROD2894
Hoodie,Clothing,L,Purple,Spring,3.8,PROD2895
Hat,Accessories,XL,Olive,Spring,4.7,PROD2896
Jewelry,Accessories,M,Lavender,Spring,4.7,PROD2897
Shirt,Clothing,M,Gray,Spring,3.4,PROD2898
Belt,Accessories,L,Red,Spring,3.5,PROD2899
Sweater,Clothing,M,Peach,Summer,4,PROD2900
Hat,Accessories,L,Gray,Fall,3.3,PROD2901
Scarf,Accessories,L,Violet,Summer,4.7,PROD2902
Hat,Accessories,M,Beige,Summer,2.8,PROD2903
Jacket,Outerwear,M,Blue,Winter,3.3,PROD2904
T-shirt,Clothing,L,Magenta,Spring,2.9,PROD2905
Dress,Clothing,S,Cyan,Spring,2.8,PROD2906
Pants,Clothing,M,Red,Spring,4.2,PROD2907
Sweater,Clothing,L,Cyan,Winter,4.4,PROD2908
Sunglasses,Accessories,M,Turquoise,Winter,3.6,PROD2909
Belt,Accessories,L,Silver,Fall,2.7,PROD2910
Hoodie,Clothing,S,Pink,Spring,3.4,PROD2911
Pants,Clothing,M,Black,Winter,2.8,PROD2912
Hoodie,Clothing,M,Green,Winter,3.4,PROD2913
Sneakers,Footwear,M,Yellow,Fall,2.6,PROD2914
Dress,Clothing,L,Purple,Summer,4.1,PROD2915
Dress,Clothing,L,Purple,Winter,2.9,PROD2916
Jeans,Clothing,S,Blue,Spring,2.7,PROD2917
Sweater,Clothing,M,Maroon,Spring,3.7,PROD2918
Shorts,Clothing,M,Orange,Spring,4.3,PROD2919
Shirt,Clothing,L,Green,Winter,2.6,PROD2920
Belt,Accessories,XL,Gold,Summer,4.3,PROD2921
Coat,Outerwear,L,Silver,Summer,4.1,PROD2922
Sneakers,Footwear,M,Cyan,Fall,4.2,PROD2923
Shirt,Clothing,M,Silver,Spring,4.2,PROD2924
